block_type,grid,epoch,acc_row,acc_col,acc_real_4dir,acc_same_row_4,acc_shuffle_row,delta_direction,order_utilization
gru,32,1,0.2766,0.2951,0.2929,0.2852,0.2814,0.007699999999999985,-0.004799999999999971
gru,32,2,0.3481,0.3589,0.3768,0.3526,0.3308,0.0242,0.017300000000000038
gru,32,3,0.3961,0.419,0.4515,0.4481,0.3945,0.003400000000000014,0.0015999999999999903
gru,32,4,0.4518,0.4239,0.508,0.483,0.4123,0.025000000000000022,0.03949999999999998
gru,32,5,0.4946,0.4521,0.511,0.5203,0.4469,-0.009299999999999975,0.047699999999999965
gru,32,6,0.5251,0.5139,0.5852,0.5487,0.4921,0.03650000000000009,0.03300000000000003
gru,32,7,0.5564,0.5321,0.5952,0.5723,0.5002,0.02289999999999992,0.05620000000000003
gru,32,8,0.5606,0.5443,0.6206,0.5891,0.525,0.031500000000000083,0.035599999999999965
gru,32,9,0.5974,0.5722,0.6376,0.6125,0.5325,0.0250999999999999,0.06490000000000007
gru,32,10,0.5945,0.5726,0.6558,0.6076,0.5345,0.04820000000000002,0.06000000000000005
gru,32,11,0.6151,0.5921,0.6719,0.6318,0.5481,0.040100000000000025,0.06699999999999995
gru,32,12,0.632,0.593,0.6678,0.6377,0.5564,0.030099999999999905,0.0756
gru,32,13,0.6317,0.6012,0.6826,0.6429,0.5553,0.03969999999999996,0.07640000000000002
gru,32,14,0.6337,0.6161,0.702,0.6592,0.5606,0.04279999999999995,0.07310000000000005
gru,32,15,0.6489,0.6191,0.6945,0.6608,0.5674,0.03369999999999995,0.08150000000000002
gru,32,16,0.6528,0.6159,0.7049,0.6557,0.5668,0.04920000000000002,0.08600000000000008
gru,32,17,0.6474,0.6337,0.7015,0.6587,0.5774,0.04280000000000006,0.06999999999999995
gru,32,18,0.6529,0.6279,0.719,0.6741,0.5714,0.04489999999999994,0.08150000000000002
gru,32,19,0.6574,0.6361,0.7158,0.676,0.5772,0.03979999999999995,0.08019999999999994
gru,32,20,0.6546,0.6404,0.7233,0.6658,0.5868,0.05750000000000011,0.06779999999999997
gru,32,21,0.6764,0.646,0.7326,0.6943,0.5815,0.0383,0.09489999999999998
gru,32,22,0.6658,0.6445,0.7266,0.6924,0.5858,0.03420000000000001,0.07999999999999996
gru,32,23,0.6761,0.6538,0.7358,0.6963,0.5843,0.03949999999999998,0.09179999999999999
gru,32,24,0.6684,0.6521,0.733,0.6933,0.5886,0.03969999999999996,0.07979999999999998
gru,32,25,0.6728,0.6424,0.7347,0.7059,0.587,0.028800000000000048,0.08579999999999999
gru,32,26,0.6796,0.6429,0.7298,0.7007,0.5989,0.029100000000000015,0.0807
gru,32,27,0.6708,0.6508,0.7356,0.7031,0.5879,0.032500000000000084,0.08289999999999997
gru,32,28,0.6776,0.6595,0.7425,0.7129,0.5907,0.02960000000000007,0.08689999999999998
gru,32,29,0.6757,0.6556,0.7396,0.7057,0.5984,0.03390000000000004,0.07729999999999992
gru,32,30,0.6859,0.6654,0.7596,0.7162,0.6001,0.043400000000000105,0.08579999999999999
gru,32,31,0.6793,0.6672,0.7488,0.7076,0.5866,0.041200000000000014,0.0927
gru,32,32,0.6899,0.6701,0.7527,0.7191,0.5977,0.033600000000000074,0.09219999999999995
gru,32,33,0.689,0.6737,0.7559,0.7213,0.6008,0.034599999999999964,0.08819999999999995
gru,32,34,0.6953,0.6793,0.7534,0.724,0.6025,0.02939999999999998,0.0928
gru,32,35,0.6946,0.6778,0.7571,0.7218,0.607,0.0353,0.08760000000000001
gru,32,36,0.6941,0.6647,0.7413,0.7209,0.6015,0.020399999999999974,0.09260000000000002
gru,32,37,0.6932,0.673,0.7598,0.7226,0.6123,0.03720000000000001,0.08090000000000008
gru,32,38,0.6929,0.6786,0.761,0.7206,0.6086,0.04039999999999999,0.08429999999999993
gru,32,39,0.69,0.6752,0.7581,0.7256,0.5925,0.03249999999999997,0.09749999999999992
gru,32,40,0.7014,0.6882,0.7586,0.7314,0.6165,0.027200000000000002,0.08489999999999998
gru,32,41,0.6937,0.6907,0.7641,0.7216,0.6182,0.04249999999999998,0.07550000000000001
gru,32,42,0.7013,0.6782,0.7594,0.7323,0.6121,0.027100000000000013,0.08920000000000006
gru,32,43,0.6884,0.6818,0.7643,0.7197,0.6104,0.04459999999999997,0.07799999999999996
gru,32,44,0.7032,0.6855,0.7672,0.7329,0.6133,0.0343,0.08990000000000009
gru,32,45,0.7125,0.6846,0.7635,0.7303,0.6207,0.03320000000000001,0.09179999999999999
gru,32,46,0.7072,0.6952,0.7723,0.7378,0.617,0.034499999999999975,0.09020000000000006
gru,32,47,0.7093,0.6922,0.7718,0.7401,0.6151,0.03170000000000006,0.09420000000000006
gru,32,48,0.7059,0.6869,0.7762,0.7321,0.6173,0.04410000000000003,0.08860000000000001
gru,32,49,0.7067,0.6949,0.7746,0.7299,0.6119,0.04469999999999996,0.0948
gru,32,50,0.7014,0.6903,0.7777,0.7388,0.614,0.038899999999999935,0.08740000000000003
