block_type,grid,variant,pair,branch_dir_i,branch_dir_j,cka_spatial,cka_pooled,cosine
mamba,8,same_row_4,1-3,row,row,0.345411092042923,0.2882704734802246,0.0817138786315918
mamba,8,same_row_4,2-3,row,row,0.40401747822761536,0.39310941100120544,0.06682324695587158
mamba,16,real_4dir,0-1,row,col,0.3219144940376282,0.298100084066391,0.05500181388854981
mamba,16,real_4dir,0-2,row,diag,0.23057904839515686,0.2032342255115509,0.040961995124816894
mamba,16,real_4dir,0-3,row,anti_diag,0.23857030272483826,0.21040908992290497,0.038478415489196775
mamba,16,real_4dir,1-2,col,diag,0.28694429993629456,0.26432493329048157,0.0580867977142334
mamba,16,real_4dir,1-3,col,anti_diag,0.3163526654243469,0.3011181950569153,0.05159476280212402
mamba,16,real_4dir,2-3,diag,anti_diag,0.31684932112693787,0.3101474344730377,0.05497254943847656
mamba,16,same_row_4,0-1,row,row,0.3383309245109558,0.2922819256782532,0.087467191696167
mamba,16,same_row_4,0-2,row,row,0.29857340455055237,0.24081449210643768,0.04271043014526367
mamba,16,same_row_4,0-3,row,row,0.4050270617008209,0.3521224856376648,0.057813966751098636
mamba,16,same_row_4,1-2,row,row,0.3837483823299408,0.33909016847610474,0.09253861427307129
mamba,16,same_row_4,1-3,row,row,0.33227336406707764,0.31052812933921814,0.07148933792114258
mamba,16,same_row_4,2-3,row,row,0.3134390711784363,0.2624371647834778,0.06480177211761474
mamba,32,real_4dir,0-1,row,col,0.25139036774635315,0.23810233175754547,0.034106804072856906
mamba,32,real_4dir,0-2,row,diag,0.22229453921318054,0.16090667247772217,0.026662976056337356
mamba,32,real_4dir,0-3,row,anti_diag,0.250156432390213,0.19012340903282166,0.02453614370524883
mamba,32,real_4dir,1-2,col,diag,0.28630900382995605,0.25825372338294983,0.03694872432947159
mamba,32,real_4dir,1-3,col,anti_diag,0.31991517543792725,0.2664226293563843,0.01725412926822901
mamba,32,real_4dir,2-3,diag,anti_diag,0.297105997800827,0.27212420105934143,0.03792254942655563
mamba,32,same_row_4,0-1,row,row,0.39808887243270874,0.33229759335517883,0.09666753351688386
