block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,skipped,skip_reason
gru,horizontal,row,32,single_patch,xy_learned,1,0.5224609375,0.4990234375,57730,22.551817417144775,False,
gru,horizontal,row,32,single_patch,xy_learned,2,0.5185546875,0.5185546875,57730,22.378403186798096,False,
gru,horizontal,row,32,single_pixel,none,0,0.5224609375,0.5009765625,53634,22.605056762695312,False,
gru,horizontal,row,32,single_pixel,none,1,0.4990234375,0.490234375,53634,22.43051052093506,False,
gru,horizontal,row,32,single_pixel,none,2,0.509765625,0.509765625,53634,24.038907527923584,False,
gru,horizontal,row,32,single_pixel,xy_learned,0,0.515625,0.5029296875,57730,24.569209337234497,False,
gru,horizontal,row,32,single_pixel,xy_learned,1,0.5107421875,0.4931640625,57730,22.868183135986328,False,
gru,horizontal,row,32,single_pixel,xy_learned,2,0.5302734375,0.5302734375,57730,22.445038080215454,False,
gru,horizontal,col,8,single_patch,none,0,0.5400390625,0.5087890625,53634,5.115102529525757,False,
gru,horizontal,col,8,single_patch,none,1,0.5322265625,0.5322265625,53634,5.187518358230591,False,
gru,horizontal,col,8,single_patch,none,2,0.5048828125,0.498046875,53634,5.121135711669922,False,
gru,horizontal,col,8,single_patch,xy_learned,0,0.5224609375,0.509765625,54658,5.1981422901153564,False,
gru,horizontal,col,8,single_patch,xy_learned,1,0.515625,0.494140625,54658,5.285416841506958,False,
gru,horizontal,col,8,single_patch,xy_learned,2,0.5087890625,0.505859375,54658,5.392001152038574,False,
gru,horizontal,col,8,single_pixel,none,0,0.54296875,0.5146484375,53634,5.329415321350098,False,
gru,horizontal,col,8,single_pixel,none,1,0.5341796875,0.5341796875,53634,5.3210718631744385,False,
gru,horizontal,col,8,single_pixel,none,2,0.513671875,0.513671875,53634,5.349449872970581,False,
gru,horizontal,col,8,single_pixel,xy_learned,0,0.525390625,0.5205078125,54658,5.500691890716553,False,
gru,horizontal,col,8,single_pixel,xy_learned,1,0.5205078125,0.51171875,54658,5.422457218170166,False,
gru,horizontal,col,8,single_pixel,xy_learned,2,0.537109375,0.5107421875,54658,5.6203083992004395,False,
gru,horizontal,col,16,single_patch,none,0,0.5234375,0.5234375,53634,8.014447450637817,False,
gru,horizontal,col,16,single_patch,none,1,0.4853515625,0.4853515625,53634,8.004265785217285,False,
gru,horizontal,col,16,single_patch,none,2,0.5166015625,0.5166015625,53634,7.9964399337768555,False,
gru,horizontal,col,16,single_patch,xy_learned,0,0.5,0.4951171875,55682,8.30357575416565,False,
gru,horizontal,col,16,single_patch,xy_learned,1,0.490234375,0.478515625,55682,8.081021547317505,False,
gru,horizontal,col,16,single_patch,xy_learned,2,0.5205078125,0.5048828125,55682,8.234587669372559,False,
gru,horizontal,col,16,single_pixel,none,0,0.5146484375,0.5048828125,53634,8.499730825424194,False,
gru,horizontal,col,16,single_pixel,none,1,0.4912109375,0.4638671875,53634,8.255300998687744,False,
gru,horizontal,col,16,single_pixel,none,2,0.486328125,0.4814453125,53634,8.281596422195435,False,
gru,horizontal,col,16,single_pixel,xy_learned,0,0.4990234375,0.4990234375,55682,8.266001224517822,False,
gru,horizontal,col,16,single_pixel,xy_learned,1,0.4775390625,0.4482421875,55682,8.63443660736084,False,
gru,horizontal,col,16,single_pixel,xy_learned,2,0.5,0.474609375,55682,8.330431461334229,False,
gru,horizontal,col,24,single_patch,none,0,0.5244140625,0.5107421875,53634,12.804064512252808,False,
gru,horizontal,col,24,single_patch,none,1,0.5068359375,0.4921875,53634,13.028969526290894,False,
gru,horizontal,col,24,single_patch,none,2,0.517578125,0.517578125,53634,12.885780811309814,False,
gru,horizontal,col,24,single_patch,xy_learned,0,0.521484375,0.505859375,56706,13.187949895858765,False,
gru,horizontal,col,24,single_patch,xy_learned,1,0.5087890625,0.4912109375,56706,12.961502075195312,False,
gru,horizontal,col,24,single_patch,xy_learned,2,0.5283203125,0.5205078125,56706,13.043655395507812,False,
gru,horizontal,col,24,single_pixel,none,0,0.5087890625,0.4921875,53634,13.364877700805664,False,
gru,horizontal,col,24,single_pixel,none,1,0.498046875,0.494140625,53634,13.756005048751831,False,
gru,horizontal,col,24,single_pixel,none,2,0.505859375,0.4970703125,53634,13.66197156906128,False,
