block_type,task_dir,branch_dirs,grid_size,signal_strength,pos_mode,seed,backbone_best_acc,backbone_last_acc,probe_best_acc,probe_last_acc,row_distance,col_distance,scan_distance,param_count,probe_param_count,elapsed_sec,skipped,skip_reason
mamba,horizontal,row,16,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,0.0,15.0,15.0,71042,130,23.888386726379395,False,
mamba,horizontal,row,16,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,0.0,15.0,15.0,71042,130,24.04761052131653,False,
mamba,horizontal,row,16,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,0.0,15.0,15.0,71042,130,24.156861543655396,False,
mamba,horizontal,row,24,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,0.0,23.0,23.0,72066,130,42.4775755405426,False,
mamba,horizontal,row,24,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,0.0,23.0,23.0,72066,130,42.96664786338806,False,
mamba,horizontal,row,24,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,0.0,23.0,23.0,72066,130,43.54765748977661,False,
mamba,horizontal,row,32,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,0.0,31.0,31.0,73090,130,74.71174836158752,False,
mamba,horizontal,row,32,single_patch,xy_learned,1,1.0,1.0,1.0,1.0,0.0,31.0,31.0,73090,130,73.40987873077393,False,
mamba,horizontal,row,32,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,0.0,31.0,31.0,73090,130,73.43200731277466,False,
mamba,horizontal,col,8,single_patch,xy_learned,0,1.0,1.0,1.0,1.0,0.0,7.0,56.0,70018,130,15.636293888092041,False,
mamba,horizontal,col,8,single_patch,xy_learned,1,0.9970703125,0.9970703125,0.9970703125,0.9970703125,0.0,7.0,56.0,70018,130,15.932862043380737,False,
mamba,horizontal,col,8,single_patch,xy_learned,2,1.0,1.0,1.0,1.0,0.0,7.0,56.0,70018,130,15.63899564743042,False,
mamba,horizontal,col,16,single_patch,xy_learned,0,0.498046875,0.498046875,0.4970703125,0.490234375,0.0,15.0,240.0,71042,130,25.128878593444824,False,
mamba,horizontal,col,16,single_patch,xy_learned,1,0.5,0.5,0.5263671875,0.4990234375,0.0,15.0,240.0,71042,130,23.94322657585144,False,
mamba,horizontal,col,16,single_patch,xy_learned,2,0.49609375,0.4892578125,0.4990234375,0.4990234375,0.0,15.0,240.0,71042,130,24.169903993606567,False,
mamba,horizontal,col,24,single_patch,xy_learned,0,0.5029296875,0.494140625,0.4990234375,0.498046875,0.0,23.0,552.0,72066,130,44.637694358825684,False,
mamba,horizontal,col,24,single_patch,xy_learned,1,0.51171875,0.501953125,0.5009765625,0.490234375,0.0,23.0,552.0,72066,130,43.596357583999634,False,
mamba,horizontal,col,24,single_patch,xy_learned,2,0.5244140625,0.5244140625,0.521484375,0.509765625,0.0,23.0,552.0,72066,130,43.1950306892395,False,
mamba,horizontal,col,32,single_patch,xy_learned,0,0.525390625,0.521484375,0.51953125,0.51953125,0.0,31.0,992.0,73090,130,76.05000877380371,False,
mamba,horizontal,col,32,single_patch,xy_learned,1,0.498046875,0.48046875,0.498046875,0.486328125,0.0,31.0,992.0,73090,130,77.312814950943,False,
mamba,horizontal,col,32,single_patch,xy_learned,2,0.4912109375,0.4775390625,0.51171875,0.482421875,0.0,31.0,992.0,73090,130,75.2649040222168,False,
