batch,dataset,arch,block,d_model,grid,seq_len,exp_id,group,seed,epochs,tail_val_acc,tail_train_acc,final_val_acc,param_count,source
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,0,100,64.9485,64.3963,65.11,17034,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,1,100,66.886,65.1094,67.07,17034,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,2,100,65.21,64.5233,65.42,17034,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,3,100,66.443,65.3352,66.52,17034,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,16,256,channel_same_perm_4,RND_S,4,100,65.291,64.6262,65.44,17034,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,0,100,68.1585,68.7154,68.28,18506,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,1,100,68.1815,68.5816,68.31,18506,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,2,100,68.9165,69.438,69.03,18506,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,3,100,68.3595,69.0808,68.46,18506,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_real_4dir,GEO_DIV,4,100,69.103,69.6555,69.19,18506,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_row_4,GEO_S,0,100,66.212,65.6133,66.36,18506,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_row_4,GEO_S,1,100,65.2935,64.9345,65.46,18506,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_row_4,GEO_S,2,100,65.9195,65.5515,66.18,18506,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_row_4,GEO_S,3,100,65.3985,64.9875,65.57,18506,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_row_4,GEO_S,4,100,66.5225,66.141,66.53,18506,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_rand_perm_4,RND_D,0,100,58.001,57.8197,58.05,18506,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_rand_perm_4,RND_D,1,100,57.5685,56.9785,57.72,18506,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_rand_perm_4,RND_D,2,100,58.1675,57.631,58.16,18506,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_rand_perm_4,RND_D,3,100,57.793,57.2977,57.86,18506,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_rand_perm_4,RND_D,4,100,57.9815,57.8138,58.05,18506,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_perm_4,RND_S,0,100,57.937,57.5389,58.03,18506,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_perm_4,RND_S,1,100,57.617,57.0215,57.65,18506,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_perm_4,RND_S,2,100,58.082,57.6646,58.21,18506,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_perm_4,RND_S,3,100,57.851,57.3389,57.91,18506,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,32,1024,channel_same_perm_4,RND_S,4,100,57.967,57.7389,57.94,18506,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_real_4dir,GEO_DIV,0,100,66.919,66.0266,67.05,18314,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_real_4dir,GEO_DIV,1,100,68.5385,67.611,68.77,18314,csplit_d64_seed1/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_real_4dir,GEO_DIV,2,100,67.558,67.1673,67.58,18314,csplit_d64_seed2/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_real_4dir,GEO_DIV,3,100,67.561,66.8427,67.68,18314,csplit_d64_seed3/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_real_4dir,GEO_DIV,4,100,66.933,66.5259,67.07,18314,csplit_d64_seed4/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_row_4,GEO_S,0,100,67.9895,67.3539,68.15,18314,csplit_d64_seed0/stage1_results.json
earlier,cifar10,channel_split,gru,64,8,64,channel_same_row_4,GEO_S,1,100,68.784,68.2945,68.91,18314,csplit_d64_seed1/stage1_results.json
